State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,26614.24,32.9375813724485,28329.84,32.690196287776146,0.0,0.0,13185.96,19.8223342049652,762.2,6.738694235532579,0.0,0.0,426.0,4.62853468533329,0.0,0.0
RA,26794.76,36.33631241609418,28333.56,37.721040989523786,0.0,0.0,13142.04,20.609987869962463,776.64,6.939951969094119,0.0,0.0,361.64,4.07957514127799,0.0,0.0
VA,29946.76,29.967720411580636,28318.96,28.37178645532682,0.0,0.0,13168.4,25.301053996490605,868.56,5.372175226727686,0.0,0.0,431.44,4.703927437082053,0.0,0.0
HA,24090.52,27.468474050566897,28267.04,32.47021609619088,0.0,0.0,13169.92,20.3299385144176,646.68,5.582329262951085,0.0,0.0,368.6,3.923009049186606,0.0,0.0
DA,27282.24,30.04953022372674,28350.44,35.34907259509553,0.0,0.0,13199.56,28.774472482856517,42.16,1.4693309134886303,0.0,0.0,770.04,4.07982025747867,0.0,0.0
AA,27049.92,59.05150068654761,28513.52,110.90843250177147,0.0,0.0,13317.2,62.23278878533404,1486.68,7.6960422729261735,0.0,0.0,25.08,1.0691429589473367,0.0,0.0
AD,27031.24,25.620843077463313,28396.32,33.76678446836969,0.0,0.0,13189.28,28.277465704455672,37.6,0.8524474568362947,0.0,0.0,752.64,5.080314950866727,0.0,0.0
DD,27281.16,29.339545554308323,28308.64,39.00837004199654,0.0,0.0,13167.04,19.365044108737095,1530.84,9.409690040945382,0.0,0.0,29.76,1.0555883035855724,0.0,0.0
HD,24100.56,22.389661304569426,28405.04,35.898675927300346,0.0,0.0,13146.32,26.92073054977025,716.8,4.235170205159017,0.0,0.0,327.96,2.9718008008613226,0.0,0.0
VD,30092.52,40.12240105809555,28361.96,39.34990385418157,0.0,0.0,13154.52,24.66104350319886,840.88,4.813287165060208,0.0,0.0,450.92,4.77176417411143,0.0,0.0
RD,26830.96,33.12161831795059,28315.96,33.675088715547574,0.0,0.0,13126.2,21.559684598806168,749.88,6.432552629659033,0.0,0.0,422.88,3.178741889490243,0.0,0.0
LD,26592.36,34.67524957852983,28392.24,33.49100774834941,0.0,0.0,13165.0,30.26642804604909,808.48,6.32432341572335,0.0,0.0,368.16,3.232480987311964,0.0,0.0
LH,26628.36,36.66773695407632,25377.2,30.798376580592684,0.0,0.0,14595.56,30.62347030193236,679.88,4.988092487781945,0.0,0.0,451.36,4.995624752387499,0.0,0.0
RH,26730.08,32.39701220791819,25387.44,32.989547839682,0.0,0.0,14612.4,26.570535059221772,600.16,4.768186237973513,0.0,0.0,491.76,4.948494720619594,0.0,0.0
VH,29924.4,34.54036286240587,25381.76,34.75549261148036,0.0,0.0,14622.32,28.832083980639805,11.72,0.8010826008180013,0.0,0.0,875.2,7.21433757642839,0.0,0.0
HH,24075.56,34.886390851830264,25345.8,27.36043371975914,0.0,0.0,14605.2,19.783747538488928,1354.08,6.801940899478618,0.0,0.0,13.24,0.5923962637739482,0.0,0.0
DH,27104.24,40.72907560944638,25349.76,31.64218070866798,0.0,0.0,14582.12,22.28088268748196,681.12,4.481562227616616,0.0,0.0,466.16,3.327000651237287,0.0,0.0
AH,26880.84,28.286550396492913,25333.96,36.115531285030265,0.0,0.0,14591.76,16.454409743287663,706.76,5.593234007858663,0.0,0.0,422.16,3.839565947690789,0.0,0.0
AV,26910.52,36.65401842454203,31319.4,41.41428899949066,0.0,0.0,11731.44,20.78501703952473,829.2,5.553077224986761,0.0,0.0,361.52,3.5567400804669447,0.0,0.0
DV,27096.84,22.837226918637327,31318.2,36.596721164607075,0.0,0.0,11739.68,25.306173159922857,884.4,5.234182521336705,0.0,0.0,345.4,2.8284271247461907,0.0,0.0
HV,23994.68,39.925251825546866,31296.12,41.504952314954735,0.0,0.0,11732.6,23.43693665989649,12.36,0.7091779278385175,0.0,0.0,683.12,5.725184130954508,0.0,0.0
VV,29878.4,31.901567359614166,31302.4,21.196226079186832,0.0,0.0,11734.12,16.15975659882702,1702.96,7.486539031265828,0.0,0.0,14.84,0.8654093443760204,0.0,0.0
RV,26694.84,32.47274138925344,31353.04,30.969365508515022,0.0,0.0,11739.6,20.701610243328094,944.12,6.605886264032506,0.0,0.0,307.2,2.9512709126747416,0.0,0.0
LV,26574.76,34.45708828867195,31433.72,34.74164264011323,0.0,0.0,11688.4,20.21055829675832,899.64,6.532452321550716,0.0,0.0,350.4,3.7704995248198445,0.0,0.0
