State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,23426.24,33.26295637291831,25576.2,26.695380374389373,0.0,0.0,12556.0,18.018878988438765,744.68,6.22460708264653,0.0,0.0,339.0,3.8815804341359033,0.0,0.0
RA,23348.48,33.75895535508566,25560.08,40.62781969701713,0.0,0.0,12563.96,24.334781692055508,600.96,4.54770271675711,0.0,0.0,334.32,3.410630440255878,0.0,0.0
VA,3274.8,11.709967264400586,25589.8,23.59710434212921,0.0,0.0,12517.36,29.745749276157092,6.4,0.4203173404306164,0.0,0.0,2.68,0.2563851269737255,0.0,0.0
HA,44846.2,44.386446880401074,25591.4,27.235210053654196,0.0,0.0,12589.64,18.65340719546968,1454.4,8.10329151230124,0.0,0.0,714.28,4.945206433170072,0.0,0.0
DA,23077.48,26.05175106078924,25616.52,33.32387132372229,0.0,0.0,12465.76,22.70611371415196,704.76,5.296627858049559,0.0,0.0,352.12,3.9227201446615245,0.0,0.0
AA,25016.8,29.409408925262902,25621.52,30.38607795246589,0.0,0.0,12541.04,24.228528638776233,751.92,4.213438817244968,0.0,0.0,357.88,4.4027718541845875,0.0,0.0
AD,25032.92,26.35374230224872,25370.92,38.99679132099631,0.0,0.0,12648.12,15.845748115293684,710.72,4.60996023120952,0.0,0.0,390.64,3.535005893441575,0.0,0.0
DD,23116.48,33.19101886555056,25311.84,30.55223286984657,0.0,0.0,12625.72,22.04627859753206,695.12,5.17407640711525,0.0,0.0,358.2,4.507031543414504,0.0,0.0
HD,44759.88,55.18611902764438,25298.52,30.838024147687104,0.0,0.0,12621.6,26.3666455962832,1418.0,7.632823854904553,0.0,0.0,758.16,5.978483642753124,0.0,0.0
VD,3271.76,11.443816379745584,25320.6,30.793992920698024,0.0,0.0,12611.88,21.1040533231573,6.2,0.4932882862316247,0.0,0.0,3.52,0.4325120422215624,0.0,0.0
RD,23287.88,41.75609017456814,25262.92,31.44995601480761,0.0,0.0,12612.6,20.161266494609578,654.08,5.204139378097656,0.0,0.0,315.72,2.36609382738724,0.0,0.0
LD,23361.64,26.280276507931443,25308.2,33.94804854479856,0.0,0.0,12623.56,19.037338749590674,655.68,4.615813398885763,0.0,0.0,390.72,3.6952762639167682,0.0,0.0
LH,23392.44,25.959717512587332,3543.56,11.144218231890473,0.0,0.0,22813.8,26.404292580311004,7.12,0.5925087903707984,0.0,0.0,707.32,4.382434635374877,0.0,0.0
RH,23318.4,26.421140525470634,3549.28,11.299634212368705,0.0,0.0,22877.8,29.829012722515643,5.96,0.43389706920727944,0.0,0.0,637.44,4.6054605270989635,0.0,0.0
VH,3297.52,12.214898007487962,3561.6,10.758562481422258,0.0,0.0,22803.52,25.45035166751139,3.04,0.3762977544445355,0.0,0.0,4.8,0.45825756949558405,0.0,0.0
HH,44814.4,39.178735729134154,3535.44,11.714816828842581,0.0,0.0,22870.52,26.220165267722223,11.2,0.5537749241945384,0.0,0.0,1431.88,6.470012879945965,0.0,0.0
DH,23066.72,25.525250243631305,3565.52,10.763227520900347,0.0,0.0,22823.4,37.06548259499665,7.96,0.5491812087098392,0.0,0.0,699.68,5.653824664183825,0.0,0.0
AH,24931.8,22.522729260312424,3530.2,12.487860772232633,0.0,0.0,22822.12,28.345741596696087,7.56,0.6002221810851933,0.0,0.0,738.96,5.868980604273057,0.0,0.0
AV,24935.36,31.150167468784712,47490.8,41.07168529940466,0.0,0.0,2211.96,9.828950435660293,1452.6,9.41735985649198,0.0,0.0,13.08,0.709271927166631,0.0,0.0
DV,23095.32,40.610824501192624,47552.56,38.91718043914967,0.0,0.0,2209.32,10.084595513289894,1392.36,6.784020440220779,0.0,0.0,11.8,0.4358898943540674,0.0,0.0
HV,44780.12,37.67993807496681,47467.92,53.80163938022707,0.0,0.0,2210.28,9.803319165806379,2827.84,7.832555989798818,0.0,0.0,24.56,0.9184770002564028,0.0,0.0
VV,3283.76,13.356681224515816,47584.72,40.99262210040566,0.0,0.0,2222.12,9.573108168196992,9.68,0.6969457176375599,0.0,0.0,1.84,0.26882460204874603,0.0,0.0
RV,23375.4,27.636449361908507,47480.16,44.74109520340333,0.0,0.0,2204.64,10.189026777208245,1266.36,7.092926053470459,0.0,0.0,11.4,0.6582805886043833,0.0,0.0
LV,23450.2,34.50468567214217,47579.48,40.14789824303799,0.0,0.0,2208.8,8.120139571871082,1396.12,8.054878438975145,0.0,0.0,13.68,0.8499411744350311,0.0,0.0
LL,23490.64,31.57318904809374,26225.16,27.877331292647074,0.0,0.0,12216.16,21.01385891897694,688.16,6.798695953391847,0.0,0.0,374.76,3.429421719959989,0.0,0.0
RL,23378.8,32.3800864730161,26198.0,30.392213915189966,0.0,0.0,12205.4,32.37133505639416,609.16,7.094993540048739,0.0,0.0,333.88,3.612164632645269,0.0,0.0
VL,3295.36,10.661750950633452,26227.72,39.492384075920256,0.0,0.0,12251.4,19.495555048950685,5.52,0.5689756878227165,0.0,0.0,3.48,0.4623130252689549,0.0,0.0
HL,44862.92,38.89082668187962,26249.4,23.793066216862425,0.0,0.0,12205.28,25.542612761161823,1392.0,7.763375554486592,0.0,0.0,755.56,4.9860070865038555,0.0,0.0
DL,23107.6,37.07469936942622,26205.6,37.90017590108697,0.0,0.0,12266.12,24.003980225509824,712.84,6.980133714096505,0.0,0.0,352.68,4.402166133469597,0.0,0.0
AL,25057.0,25.56338527399426,26243.76,34.5000135265674,0.0,0.0,12239.52,27.499522420095474,670.68,4.995571372058789,0.0,0.0,407.44,3.4346664078674847,0.0,0.0
AR,25041.24,46.52677651990661,25775.44,29.414060130035317,0.0,0.0,12050.24,24.923501626644146,778.68,6.501210143760417,0.0,0.0,338.04,3.368224062222306,0.0,0.0
DR,23109.4,34.058430185002166,25760.56,30.065821126322156,0.0,0.0,12071.12,23.703679039339026,681.8,4.476605857119878,0.0,0.0,356.08,3.9204251470131823,0.0,0.0
HR,44950.72,30.878553506708613,25704.84,32.284758013650965,0.0,0.0,12079.04,21.0451482928172,1436.4,6.3377177806105145,0.0,0.0,701.2,4.507031543414504,0.0,0.0
VR,3314.12,8.64413481307798,25744.04,31.167262739397994,0.0,0.0,12065.64,12.509447096761177,7.04,0.4742713709821976,0.0,0.0,2.36,0.2508651696296903,0.0,0.0
