State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,25264.16,28.357108456258366,27721.0,29.330530169091723,0.0,0.0,12959.8,21.48099935602004,644.96,5.164778149478767,0.0,0.0,454.2,4.620966709827429,0.0,0.0
RA,25297.92,26.270447274456522,27691.36,33.319757902281744,0.0,0.0,12925.04,17.937621544303653,828.48,6.464807292822682,0.0,0.0,294.96,3.5969802149395624,0.0,0.0
VA,16681.76,25.155203570368236,27693.44,31.97374339464597,0.0,0.0,12978.52,23.888848165339965,440.16,4.343071110017273,0.0,0.0,213.56,3.405427041258311,0.0,0.0
HA,35035.4,32.57212509698029,27649.24,33.353674460245,0.0,0.0,12938.2,20.66930090738436,1062.2,5.079041904401525,0.0,0.0,567.84,4.760140053961998,0.0,0.0
DA,25554.84,30.93588423390114,27720.08,35.998005500305155,0.0,0.0,12930.4,16.86821468521985,108.56,2.323130072409492,0.0,0.0,713.36,5.208608259410569,0.0,0.0
AA,26322.44,33.05667254882137,27724.04,34.867247286433916,0.0,0.0,12919.24,27.638215089497614,1405.92,6.984010309270741,0.0,0.0,69.8,1.6931233465600393,0.0,0.0
AD,26322.04,26.733654195913182,27761.16,30.81339968260562,0.0,0.0,12896.92,20.24639227121711,125.48,2.2797075835875678,0.0,0.0,706.8,4.416257842714048,0.0,0.0
DD,25538.32,33.923036420697954,27783.72,34.01325819931595,0.0,0.0,12874.4,23.7714114010927,1412.92,8.925977070700252,0.0,0.0,60.76,1.3751121166411608,0.0,0.0
HD,35095.28,44.26791614702458,27790.96,30.424577783978087,0.0,0.0,12935.36,16.33083790461061,1119.6,9.30053761886914,0.0,0.0,528.96,4.3869047554435605,0.0,0.0
VD,16697.6,22.993767271444085,27819.48,33.166806699871884,0.0,0.0,12898.16,21.998763601620887,429.68,4.332712776079209,0.0,0.0,232.68,3.2443386588538097,0.0,0.0
RD,25359.8,34.54928846348841,27725.52,35.01109919249418,0.0,0.0,12862.32,15.570669007249924,612.04,5.798701003960571,0.0,0.0,431.8,3.5874782229304194,0.0,0.0
