State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,23969.72,29.776921712404505,26496.8,36.378977445772165,0.0,0.0,12492.72,24.317381986280243,634.88,4.280700877192892,0.0,0.0,433.92,4.964849779533449,0.0,0.0
RA,23981.6,31.69237552892914,26471.28,35.82427110214526,0.0,0.0,12504.72,25.274329532815173,755.96,4.143058451595068,0.0,0.0,281.92,3.6532725055763366,0.0,0.0
VA,9059.44,19.84540920884895,26504.76,27.102600121267578,0.0,0.0,12490.4,19.05317121461237,212.12,2.5847759412890445,0.0,0.0,91.68,2.0130573762314876,0.0,0.0
HA,40433.12,48.757232625871346,26413.44,25.361130363872455,0.0,0.0,12504.88,26.28461654022494,1249.8,5.508780869363627,0.0,0.0,666.4,5.784173810205454,0.0,0.0
DA,23990.04,31.26779386738587,26497.4,28.763112951602903,0.0,0.0,12483.08,22.723330155004422,260.2,3.3201405592735576,0.0,0.0,601.04,5.223498189272523,0.0,0.0
AA,25530.28,31.916010611185936,26491.04,32.50607532959544,0.0,0.0,12529.44,20.10332310838186,1199.84,7.236638261881917,0.0,0.0,160.8,2.648269875472161,0.0,0.0
AD,25541.04,23.892221886351766,26742.68,31.38076480903549,0.0,0.0,12333.68,20.704083333165624,302.6,3.556215216584433,0.0,0.0,597.48,5.3966409305542395,0.0,0.0
DD,23888.36,28.598011585889445,26748.0,28.179898272823248,0.0,0.0,12382.36,19.506655274546684,1211.28,6.708084674480487,0.0,0.0,130.88,1.8958902921846505,0.0,0.0
HD,40303.08,42.46668969125487,26771.52,27.268426186097848,0.0,0.0,12341.92,19.528775349895003,1339.0,7.509105583667517,0.0,0.0,613.48,4.83532832390935,0.0,0.0
VD,9084.48,16.5744904396284,26693.32,37.38380754640526,0.0,0.0,12353.36,23.47891820335852,183.68,2.10849077146032,0.0,0.0,110.64,1.751075859769264,0.0,0.0
RD,23985.64,31.92610634992414,26797.96,35.9130654033691,0.0,0.0,12369.64,24.890217623261822,592.64,5.271268032140528,0.0,0.0,387.76,3.8618993599868268,0.0,0.0
LD,24008.44,29.375561271233607,26744.48,25.39613618906099,0.0,0.0,12366.6,20.878617451035076,851.76,5.887636764158151,0.0,0.0,312.76,4.184208407811447,0.0,0.0
LH,24099.04,33.39019217275237,43397.56,32.942175601094306,0.0,0.0,4571.44,13.287347365068772,1254.32,7.755153125503068,0.0,0.0,106.4,2.5033311140691454,0.0,0.0
RH,24013.68,35.134679923593055,43401.64,42.446903302832354,0.0,0.0,4578.0,15.101986624282251,1131.28,6.489612212348798,0.0,0.0,109.8,2.161789382278795,0.0,0.0
VH,9092.68,13.813848124255605,43385.68,54.004682513031526,0.0,0.0,4575.68,13.773975460991647,11.88,0.6565566743752338,0.0,0.0,190.0,2.106339637063944,0.0,0.0
HH,40338.76,45.47692748343201,43397.84,39.859364437147434,0.0,0.0,4567.2,11.166467659918242,2570.68,9.553484530089879,0.0,0.0,18.08,0.8183723683833254,0.0,0.0
DH,24008.76,31.13632819285751,43392.72,41.45155887699923,0.0,0.0,4559.16,14.426558841248317,1251.84,6.707627499098818,0.0,0.0,114.88,2.092303355953274,0.0,0.0
AH,25527.52,32.556777072267664,43360.8,40.88015003234047,0.0,0.0,4592.24,11.293254623889428,1308.76,7.696813193350435,0.0,0.0,97.4,2.11266025033211,0.0,0.0
AV,25495.72,34.650758529455985,9711.32,18.68249804853016,0.0,0.0,20268.08,38.57364903661566,181.12,2.815031083309738,0.0,0.0,662.56,5.362859933530491,0.0,0.0
DV,23922.4,25.930098341502678,9670.32,18.653928987392085,0.0,0.0,20237.04,23.758260317904874,214.92,2.9602477373805502,0.0,0.0,616.12,4.955912294085385,0.0,0.0
