State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,23159.24,31.911767944338862,5691.84,13.792713051946427,0.0,0.0,22868.96,33.11774348190609,69.72,2.0932590220355753,0.0,0.0,665.72,5.377583100241223,0.0,0.0
RA,23212.84,39.84200798152624,5664.36,14.154372704809868,0.0,0.0,22875.76,25.81532361473188,63.4,1.2596295751794122,0.0,0.0,624.12,4.177846335134885,0.0,0.0
VA,4838.0,14.017607974734252,5708.8,14.801351289662714,0.0,0.0,22924.64,30.385900238981456,113.8,1.8841443681416774,0.0,0.0,4.8,0.5163977794943222,0.0,0.0
HA,43220.92,38.96155883260662,5676.16,12.078449127819903,0.0,0.0,22866.76,42.16405578214695,11.4,0.7371114795831994,0.0,0.0,1395.56,7.428117751714315,0.0,0.0
DA,23057.32,27.280806439693087,5651.72,20.508089460828216,0.0,0.0,22858.56,28.03313991213495,60.4,1.6020819787597222,0.0,0.0,699.88,4.85397431664679,0.0,0.0
AA,24951.88,22.315414702248606,5658.56,15.495384258976392,0.0,0.0,22923.64,36.202756801105636,65.28,1.6232888426483647,0.0,0.0,713.68,5.4447895582229195,0.0,0.0
AD,25059.32,39.739599058537735,48614.0,39.85774705123209,0.0,0.0,2866.6,12.023449310964526,1459.04,8.013422073829215,0.0,0.0,33.4,1.321615173439934,0.0,0.0
DD,23056.44,35.511598105407764,48512.84,36.69685181774226,0.0,0.0,2872.24,10.477003388373987,1398.48,7.308013866069676,0.0,0.0,42.92,1.2805207274126151,0.0,0.0
HD,43147.08,54.28814849179023,48578.68,36.67263830160028,0.0,0.0,2864.96,12.600460309052206,2840.44,10.54752419606927,0.0,0.0,19.44,0.678429559104456,0.0,0.0
VD,4823.12,13.040235171703511,48564.12,40.56498161386658,0.0,0.0,2891.04,10.823351298619727,9.32,0.6129709074118717,0.0,0.0,55.8,1.5110702608857518,0.0,0.0
RD,23147.32,35.18502143431681,48535.12,47.12438576080684,0.0,0.0,2886.32,10.516609085949074,1270.12,5.432102109987747,0.0,0.0,44.08,1.4501953891343973,0.0,0.0
LD,23182.28,24.494524558221848,48512.96,42.502136416890856,0.0,0.0,2887.0,9.636216408252082,1341.76,7.793433133093527,0.0,0.0,38.08,1.0358893119762684,0.0,0.0
LH,23114.68,34.550191509358285,27175.8,33.69119568472848,0.0,0.0,12840.12,21.596783711160942,596.04,5.3636057523522975,0.0,0.0,409.32,3.7761179360113566,0.0,0.0
RH,23129.76,21.234820460743244,27163.24,35.48949515936605,0.0,0.0,12807.44,22.88326025722733,768.0,4.570557952810576,0.0,0.0,277.88,3.2359027591487766,0.0,0.0
VH,4839.32,14.395684538546035,27173.88,39.39899829521896,0.0,0.0,12829.2,20.617791669655922,60.04,1.4496896219536097,0.0,0.0,27.84,1.17285975291166,0.0,0.0
HH,43196.72,40.0459952221609,27286.0,39.839051193521165,0.0,0.0,12836.12,21.52396493833482,1403.76,8.043896236691936,0.0,0.0,707.8,4.872371086031934,0.0,0.0
DH,23092.68,26.536435329561506,27232.2,31.22867272235565,0.0,0.0,12829.32,26.847453013895624,482.6,4.099186911246343,0.0,0.0,482.0,4.543493516374084,0.0,0.0
AH,25010.12,28.397495194705698,27269.04,31.35482312712565,0.0,0.0,12852.0,17.87614798178474,1001.32,6.803361914034366,0.0,0.0,257.44,2.418732450410063,0.0,0.0
AV,25003.48,37.517334660127446,27143.12,29.428405778544423,0.0,0.0,12879.44,23.5114213380079,509.56,4.620634877012754,0.0,0.0,484.16,3.920748227910926,0.0,0.0
DV,23038.32,22.760910936662146,27034.72,34.57814916967072,0.0,0.0,12861.76,26.48819107954838,984.72,6.239797005245177,0.0,0.0,237.88,3.376052922176033,0.0,0.0
HV,43139.6,40.73368794171887,27096.64,33.365595054386986,0.0,0.0,12862.72,21.65614000693568,1419.24,8.379395364026372,0.0,0.0,702.36,5.02953940899827,0.0,0.0
VV,4840.36,12.704970156071468,27056.76,37.855130871961514,0.0,0.0,12876.08,23.04415471799013,62.28,1.6807934634174022,0.0,0.0,31.76,1.0348590886363866,0.0,0.0
RV,23150.76,27.950091234198148,27103.84,32.87687535842379,0.0,0.0,12881.8,20.058830142026395,555.72,4.502414167236654,0.0,0.0,389.0,3.919183588453085,0.0,0.0
